SA2,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Hinduism_P,Islam_P,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_P,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_P,Religious_affiliation_ns_P,tot_p
1135,174,1283,0,34,0,1689,0,322,10,5,22,4,24,17,141,0,0,237,100,3,299,45,512,0,6,25,2989,36,21,927,8925
1136,373,1443,0,68,0,3139,14,1262,14,0,51,17,53,52,183,3,0,256,191,6,258,216,512,0,11,45,8630,75,42,2607,19521
1137,707,1599,0,73,0,3352,0,583,10,3,55,9,69,119,260,0,3,346,327,0,433,368,437,0,23,41,8808,87,35,2883,20630
1138,289,1948,0,53,0,2326,7,373,8,0,30,18,29,61,211,0,3,319,144,6,217,63,1210,0,16,15,4034,42,6,1503,12931
1139,493,372,0,38,6,1210,7,262,3,4,9,0,23,39,45,5,3,103,99,10,110,104,46,0,10,29,4020,54,28,998,8130
1140,150,428,0,10,0,1559,0,209,3,3,19,7,11,6,82,0,0,127,94,0,28,130,67,0,7,10,4401,54,17,882,8304
1141,435,301,0,46,0,1099,0,227,6,0,19,39,12,40,37,7,4,71,147,8,30,494,36,0,0,30,3989,59,10,1300,8446
1142,432,371,0,61,0,1350,3,260,8,4,10,26,9,19,40,0,3,100,127,0,41,571,66,0,0,20,5038,54,6,1752,10371
1143,228,583,0,55,0,2040,3,406,0,5,16,13,6,11,67,0,0,126,132,3,35,187,72,0,0,39,6712,70,35,1414,12258
1144,1614,1789,0,170,0,5606,15,1432,6,6,63,50,61,95,283,27,0,439,418,15,236,425,130,0,17,57,13648,179,41,3460,30282
