SA2,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Hinduism_P,Islam_P,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_P,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_P,Religious_affiliation_ns_P,tot_p
1449,29,468,0,96,7,778,16,11,17,10,16,0,6,36,63,6,3,81,139,6,16,0,0,0,0,21,1966,6,10,401,4208
1450,203,1494,0,974,5,2625,56,142,23,44,88,6,50,195,266,39,52,532,626,38,171,64,6,3,54,85,5753,40,22,1369,15025
1451,221,1432,0,603,0,2681,44,117,14,39,163,22,56,181,304,43,44,561,476,24,145,54,3,0,61,69,4845,20,0,993,13215
1452,89,546,0,160,0,966,17,47,12,3,20,3,10,57,127,10,15,153,205,16,54,20,9,0,13,11,1774,20,3,330,4690
1453,607,681,0,274,0,3179,12,666,43,30,15,111,64,346,198,12,59,208,461,8,381,1059,11,0,76,52,2297,16,6,930,11802
1454,721,612,0,245,8,3513,14,1044,19,55,41,140,84,341,158,8,48,256,568,6,473,1347,3,0,90,81,2348,12,8,1056,13299
1455,456,1027,0,233,0,3638,13,423,49,59,38,66,55,249,294,18,43,288,546,0,377,863,0,0,192,77,3386,41,13,913,13357
1456,744,1096,0,177,4,2999,36,372,69,67,38,121,65,246,248,19,53,293,543,21,514,1108,11,0,332,41,3432,33,8,1140,13830
1457,381,1237,0,172,3,3523,23,349,23,38,45,123,17,269,279,25,100,321,496,9,273,921,12,0,142,32,3393,22,12,794,13034
1458,717,1201,0,225,6,4094,38,372,39,74,12,106,56,340,302,17,63,300,538,10,670,2241,13,0,350,33,3618,32,6,1247,16720
1459,1417,434,0,119,0,2462,18,469,39,25,19,16,47,148,135,9,33,180,342,0,759,1255,14,0,1032,61,2077,16,9,1154,12289
1460,3659,674,0,140,0,3807,24,464,54,49,15,44,105,211,195,8,49,321,450,16,677,1767,10,0,788,53,3231,13,26,1700,18550
1461,255,237,3,53,0,1804,5,266,18,11,14,57,28,66,58,3,11,75,234,0,134,258,0,0,83,4,669,4,0,370,4720
1462,405,109,0,45,0,1863,0,356,11,0,4,129,19,115,23,0,44,36,306,5,392,527,3,0,218,23,935,0,12,456,6036
1463,771,727,7,146,0,6953,16,1111,108,54,20,342,127,490,197,0,58,217,850,7,639,1234,7,0,340,75,3501,16,24,1656,19693
1464,453,772,0,145,0,3086,4,376,32,69,54,35,49,229,139,3,17,150,521,12,671,452,20,3,205,71,3511,17,9,986,12091
1465,885,1391,0,258,0,5828,15,957,48,79,101,104,140,306,352,12,13,404,805,35,2047,1165,16,0,307,88,6165,19,22,1557,23119
1466,621,585,0,176,0,2854,20,343,55,47,22,34,77,243,228,3,17,198,523,17,2236,511,15,0,290,60,4087,31,17,997,14307
1467,537,1879,0,913,24,4762,9,363,71,95,91,52,112,232,431,57,41,461,610,6,751,1086,0,0,407,58,4739,34,13,1976,19810
1468,179,1306,5,238,61,3468,3,186,66,37,74,15,45,166,234,22,30,306,279,13,258,284,0,4,150,47,3378,28,21,874,11777
1469,227,1922,0,116,0,3530,86,163,58,58,166,9,70,208,424,94,150,1021,402,25,76,390,0,14,60,13,6437,33,9,2126,17887
1470,155,1757,0,80,0,3480,76,192,45,59,198,4,70,182,319,46,75,892,329,9,101,483,4,12,88,12,4385,21,3,1387,14464
1471,11,415,0,16,0,1090,0,3,25,0,12,0,5,33,125,4,3,460,56,0,0,8,0,0,0,7,819,0,5,360,3457
1472,44,1328,0,112,0,3427,3,27,32,6,38,5,26,37,611,29,7,957,190,9,13,109,0,0,9,3,3955,32,3,1147,12159
1473,23,629,0,45,0,1365,6,10,17,0,17,0,3,45,231,0,3,489,88,4,0,5,0,0,0,4,1804,3,0,522,5313
1474,10,681,0,28,0,1535,0,15,3,4,38,0,4,13,489,18,0,361,70,0,3,0,0,3,0,0,1498,4,0,559,5336
1475,30,840,0,139,0,1610,0,0,16,0,40,0,0,19,387,0,3,775,94,3,3,6,0,0,0,6,2339,9,5,719,7043
1476,38,381,0,21,0,477,0,55,12,0,7,0,0,24,80,4,3,211,56,0,7,12,0,0,0,13,1566,9,5,442,3423
1477,9,722,0,106,0,1786,3,3,6,3,88,0,11,21,436,3,21,525,146,0,0,0,0,0,0,7,1933,3,0,673,6505
1478,41,1085,0,97,0,2759,13,16,3,0,128,0,11,25,531,9,12,529,132,0,9,3,0,0,0,19,2911,18,12,996,9359
1479,153,1765,0,278,46,6704,75,45,27,6,223,3,37,133,1233,54,24,864,481,0,55,47,8,0,13,16,6550,28,21,1997,20886
1480,95,1035,0,179,0,3535,19,24,44,7,90,7,22,62,751,40,16,641,253,0,44,28,6,3,0,21,4310,36,16,1486,12770
9499,156,416,3,62,3,947,11,90,14,20,23,8,27,69,122,9,19,125,149,0,99,247,15,4,19,35,2512,46,34,2289,7573
